"","UNITID","EFFYLEV","LSTUDY","XEYTOTLT","EFYTOTLT","XEYTOTLM","EFYTOTLM","XEYTOTLW","EFYTOTLW","XEFYAIAT","EFYAIANT","XEFYAIAM","EFYAIANM","XEFYAIAW","EFYAIANW","XEFYASIT","EFYASIAT","XEFYASIM","EFYASIAM","XEFYASIW","EFYASIAW","XEFYBKAT","EFYBKAAT","XEFYBKAM","EFYBKAAM","XEFYBKAW","EFYBKAAW","XEFYHIST","EFYHISPT","XEFYHISM","EFYHISPM","XEFYHISW","EFYHISPW","XEFYNHPT","EFYNHPIT","XEFYNHPM","EFYNHPIM","XEFYNHPW","EFYNHPIW","XEFYWHIT","EFYWHITT","XEFYWHIM","EFYWHITM","XEFYWHIW","EFYWHITW","XEFY2MOT","EFY2MORT","XEFY2MOM","EFY2MORM","XEFY2MOW","EFY2MORW","XEYUNKNT","EFYUNKNT","XEYUNKNM","EFYUNKNM","XEYUNKNW","EFYUNKNW","XEYNRALT","EFYNRALT","XEYNRALM","EFYNRALM","XEYNRALW","EFYNRALW"
"1",100654,1,999,"R",5557,"R",2508,"R",3049,"R",5,"R",3,"R",2,"R",20,"R",11,"R",9,"R",5074,"R",2302,"R",2772,"R",30,"R",10,"R",20,"R",2,"R",0,"R",2,"R",320,"R",128,"R",192,"R",0,"R",0,"R",0,"R",44,"R",16,"R",28,"R",62,"R",38,"R",24
"2",100654,2,1,"R",4582,"R",2219,"R",2363,"R",3,"R",2,"R",1,"R",7,"R",5,"R",2,"R",4358,"R",2099,"R",2259,"R",23,"R",10,"R",13,"R",1,"R",0,"R",1,"R",138,"R",79,"R",59,"R",0,"R",0,"R",0,"R",30,"R",14,"R",16,"R",22,"R",10,"R",12
"3",100654,4,3,"R",975,"R",289,"R",686,"R",2,"R",1,"R",1,"R",13,"R",6,"R",7,"R",716,"R",203,"R",513,"R",7,"R",0,"R",7,"R",1,"R",0,"R",1,"R",182,"R",49,"R",133,"R",0,"R",0,"R",0,"R",14,"R",2,"R",12,"R",40,"R",28,"R",12
"4",100663,1,999,"R",20892,"R",8211,"R",12681,"R",60,"R",24,"R",36,"R",893,"R",392,"R",501,"R",4631,"R",1331,"R",3300,"R",463,"R",184,"R",279,"R",12,"R",5,"R",7,"R",13330,"R",5551,"R",7779,"R",405,"R",143,"R",262,"R",438,"R",205,"R",233,"R",660,"R",376,"R",284
"5",100663,2,1,"R",12962,"R",5410,"R",7552,"R",35,"R",16,"R",19,"R",559,"R",268,"R",291,"R",3519,"R",1087,"R",2432,"R",281,"R",119,"R",162,"R",8,"R",5,"R",3,"R",7699,"R",3533,"R",4166,"R",286,"R",102,"R",184,"R",353,"R",162,"R",191,"R",222,"R",118,"R",104
"6",100663,4,3,"R",7930,"R",2801,"R",5129,"R",25,"R",8,"R",17,"R",334,"R",124,"R",210,"R",1112,"R",244,"R",868,"R",182,"R",65,"R",117,"R",4,"R",0,"R",4,"R",5631,"R",2018,"R",3613,"R",119,"R",41,"R",78,"R",85,"R",43,"R",42,"R",438,"R",258,"R",180
"7",100690,1,999,"R",1103,"R",502,"R",601,"Z",0,"Z",0,"Z",0,"R",5,"R",1,"R",4,"R",310,"R",114,"R",196,"R",15,"R",10,"R",5,"Z",0,"Z",0,"Z",0,"R",312,"R",203,"R",109,"Z",0,"Z",0,"Z",0,"R",461,"R",174,"R",287,"Z",0,"Z",0,"Z",0
"8",100690,2,1,"R",522,"R",228,"R",294,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",3,"R",125,"R",39,"R",86,"R",9,"R",7,"R",2,"Z",0,"Z",0,"Z",0,"R",115,"R",72,"R",43,"Z",0,"Z",0,"Z",0,"R",270,"R",110,"R",160,"Z",0,"Z",0,"Z",0
"9",100690,4,3,"R",581,"R",274,"R",307,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"R",1,"R",185,"R",75,"R",110,"R",6,"R",3,"R",3,"Z",0,"Z",0,"Z",0,"R",197,"R",131,"R",66,"Z",0,"Z",0,"Z",0,"R",191,"R",64,"R",127,"Z",0,"Z",0,"Z",0
"10",100706,1,999,"R",9009,"R",5002,"R",4007,"R",133,"R",71,"R",62,"R",323,"R",160,"R",163,"R",1134,"R",442,"R",692,"R",219,"R",107,"R",112,"R",2,"R",1,"R",1,"R",6376,"R",3736,"R",2640,"R",109,"R",58,"R",51,"R",270,"R",139,"R",131,"R",443,"R",288,"R",155
"11",100706,2,1,"R",6983,"R",3786,"R",3197,"R",104,"R",60,"R",44,"R",256,"R",123,"R",133,"R",986,"R",378,"R",608,"R",194,"R",93,"R",101,"R",2,"R",1,"R",1,"R",4885,"R",2819,"R",2066,"R",99,"R",53,"R",46,"R",226,"R",111,"R",115,"R",231,"R",148,"R",83
"12",100706,4,3,"R",2026,"R",1216,"R",810,"R",29,"R",11,"R",18,"R",67,"R",37,"R",30,"R",148,"R",64,"R",84,"R",25,"R",14,"R",11,"R",0,"R",0,"R",0,"R",1491,"R",917,"R",574,"R",10,"R",5,"R",5,"R",44,"R",28,"R",16,"R",212,"R",140,"R",72
"13",100724,1,999,"R",6368,"R",2546,"R",3822,"R",1,"R",1,"R",0,"R",10,"R",3,"R",7,"R",5965,"R",2392,"R",3573,"R",42,"R",22,"R",20,"R",2,"R",0,"R",2,"R",175,"R",60,"R",115,"R",16,"R",5,"R",11,"R",121,"R",48,"R",73,"R",36,"R",15,"R",21
"14",100724,2,1,"R",5541,"R",2307,"R",3234,"R",1,"R",1,"R",0,"R",4,"R",1,"R",3,"R",5266,"R",2197,"R",3069,"R",38,"R",20,"R",18,"R",2,"R",0,"R",2,"R",72,"R",24,"R",48,"R",15,"R",5,"R",10,"R",116,"R",46,"R",70,"R",27,"R",13,"R",14
"15",100724,4,3,"R",827,"R",239,"R",588,"R",0,"R",0,"R",0,"R",6,"R",2,"R",4,"R",699,"R",195,"R",504,"R",4,"R",2,"R",2,"R",0,"R",0,"R",0,"R",103,"R",36,"R",67,"R",1,"R",0,"R",1,"R",5,"R",2,"R",3,"R",9,"R",2,"R",7
"16",100751,1,999,"R",35308,"R",16117,"R",19191,"R",176,"R",82,"R",94,"R",412,"R",215,"R",197,"R",4577,"R",1565,"R",3012,"R",860,"R",382,"R",478,"R",20,"R",10,"R",10,"R",27076,"R",12689,"R",14387,"R",435,"R",197,"R",238,"R",180,"R",79,"R",101,"R",1572,"R",898,"R",674
"17",100751,2,1,"R",28718,"R",13487,"R",15231,"R",145,"R",68,"R",77,"R",318,"R",167,"R",151,"R",3705,"R",1380,"R",2325,"R",686,"R",321,"R",365,"R",17,"R",8,"R",9,"R",22349,"R",10738,"R",11611,"R",341,"R",164,"R",177,"R",125,"R",50,"R",75,"R",1032,"R",591,"R",441
"18",100751,4,3,"R",6590,"R",2630,"R",3960,"R",31,"R",14,"R",17,"R",94,"R",48,"R",46,"R",872,"R",185,"R",687,"R",174,"R",61,"R",113,"R",3,"R",2,"R",1,"R",4727,"R",1951,"R",2776,"R",94,"R",33,"R",61,"R",55,"R",29,"R",26,"R",540,"R",307,"R",233
"19",100760,1,999,"R",3239,"R",1098,"R",2141,"R",15,"R",7,"R",8,"R",6,"R",1,"R",5,"R",988,"R",253,"R",735,"R",16,"R",6,"R",10,"R",1,"R",0,"R",1,"R",2194,"R",825,"R",1369,"R",0,"R",0,"R",0,"R",18,"R",6,"R",12,"R",1,"R",0,"R",1
"20",100760,2,1,"R",3239,"R",1098,"R",2141,"R",15,"R",7,"R",8,"R",6,"R",1,"R",5,"R",988,"R",253,"R",735,"R",16,"R",6,"R",10,"R",1,"R",0,"R",1,"R",2194,"R",825,"R",1369,"R",0,"R",0,"R",0,"R",18,"R",6,"R",12,"R",1,"R",0,"R",1
"21",100812,1,999,"R",4690,"R",1661,"R",3029,"R",86,"R",25,"R",61,"R",32,"R",6,"R",26,"R",615,"R",177,"R",438,"R",57,"R",29,"R",28,"R",2,"R",1,"R",1,"R",3656,"R",1321,"R",2335,"R",57,"R",15,"R",42,"R",146,"R",65,"R",81,"R",39,"R",22,"R",17
"22",100812,2,1,"R",4690,"R",1661,"R",3029,"R",86,"R",25,"R",61,"R",32,"R",6,"R",26,"R",615,"R",177,"R",438,"R",57,"R",29,"R",28,"R",2,"R",1,"R",1,"R",3656,"R",1321,"R",2335,"R",57,"R",15,"R",42,"R",146,"R",65,"R",81,"R",39,"R",22,"R",17
"23",100830,1,999,"R",6606,"R",2457,"R",4149,"R",91,"R",34,"R",57,"R",167,"R",75,"R",92,"R",1967,"R",483,"R",1484,"R",32,"R",12,"R",20,"R",0,"R",0,"R",0,"R",3453,"R",1447,"R",2006,"R",82,"R",30,"R",52,"R",601,"R",270,"R",331,"R",213,"R",106,"R",107
"24",100830,2,1,"R",5424,"R",2102,"R",3322,"R",76,"R",27,"R",49,"R",141,"R",61,"R",80,"R",1533,"R",406,"R",1127,"R",27,"R",10,"R",17,"R",0,"R",0,"R",0,"R",2866,"R",1235,"R",1631,"R",75,"R",30,"R",45,"R",531,"R",242,"R",289,"R",175,"R",91,"R",84
"25",100830,4,3,"R",1182,"R",355,"R",827,"R",15,"R",7,"R",8,"R",26,"R",14,"R",12,"R",434,"R",77,"R",357,"R",5,"R",2,"R",3,"R",0,"R",0,"R",0,"R",587,"R",212,"R",375,"R",7,"R",0,"R",7,"R",70,"R",28,"R",42,"R",38,"R",15,"R",23
"26",100858,1,999,"R",27046,"R",13816,"R",13230,"R",173,"R",84,"R",89,"R",551,"R",287,"R",264,"R",2159,"R",982,"R",1177,"R",692,"R",359,"R",333,"Z",0,"Z",0,"Z",0,"R",22005,"R",11222,"R",10783,"Z",0,"Z",0,"Z",0,"R",314,"R",158,"R",156,"R",1152,"R",724,"R",428
"27",100858,2,1,"R",21429,"R",11062,"R",10367,"R",147,"R",68,"R",79,"R",403,"R",222,"R",181,"R",1667,"R",813,"R",854,"R",597,"R",311,"R",286,"Z",0,"Z",0,"Z",0,"R",18219,"R",9421,"R",8798,"Z",0,"Z",0,"Z",0,"R",223,"R",110,"R",113,"R",173,"R",117,"R",56
"28",100858,4,3,"R",5617,"R",2754,"R",2863,"R",26,"R",16,"R",10,"R",148,"R",65,"R",83,"R",492,"R",169,"R",323,"R",95,"R",48,"R",47,"Z",0,"Z",0,"Z",0,"R",3786,"R",1801,"R",1985,"Z",0,"Z",0,"Z",0,"R",91,"R",48,"R",43,"R",979,"R",607,"R",372
"29",100937,1,999,"R",1354,"R",690,"R",664,"R",10,"R",4,"R",6,"R",60,"R",28,"R",32,"R",102,"R",51,"R",51,"R",34,"R",11,"R",23,"Z",0,"Z",0,"Z",0,"R",1121,"R",582,"R",539,"R",11,"R",3,"R",8,"R",16,"R",11,"R",5,"Z",0,"Z",0,"Z",0
"30",100937,2,1,"R",1354,"R",690,"R",664,"R",10,"R",4,"R",6,"R",60,"R",28,"R",32,"R",102,"R",51,"R",51,"R",34,"R",11,"R",23,"Z",0,"Z",0,"Z",0,"R",1121,"R",582,"R",539,"R",11,"R",3,"R",8,"R",16,"R",11,"R",5,"Z",0,"Z",0,"Z",0
"31",101028,1,999,"R",2500,"R",898,"R",1602,"R",11,"R",3,"R",8,"R",25,"R",10,"R",15,"R",1046,"R",313,"R",733,"R",114,"R",39,"R",75,"R",7,"R",3,"R",4,"R",1233,"R",511,"R",722,"R",16,"R",6,"R",10,"R",47,"R",12,"R",35,"R",1,"R",1,"R",0
"32",101028,2,1,"R",2500,"R",898,"R",1602,"R",11,"R",3,"R",8,"R",25,"R",10,"R",15,"R",1046,"R",313,"R",733,"R",114,"R",39,"R",75,"R",7,"R",3,"R",4,"R",1233,"R",511,"R",722,"R",16,"R",6,"R",10,"R",47,"R",12,"R",35,"R",1,"R",1,"R",0
"33",101073,1,999,"R",849,"R",455,"R",394,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",816,"R",433,"R",383,"R",3,"R",2,"R",1,"R",1,"R",1,"R",0,"R",7,"R",6,"R",1,"R",0,"R",0,"R",0,"R",12,"R",6,"R",6,"R",9,"R",6,"R",3
