"","UNITID","ARANK","XSATOTLT","SATOTLT","XSATOTLM","SATOTLM","XSATOTLW","SATOTLW","XSA09MCT","SA09MCT","XSA09MCM","SA09MCM","XSA09MCW","SA09MCW","XSA10MCT","SA10MCT","XSA10MCM","SA10MCM","XSA10MCW","SA10MCW","XSA11MCT","SA11MCT","XSA11MCM","SA11MCM","XSA11MCW","SA11MCW","XSA12MCT","SA12MCT","XSA12MCM","SA12MCM","XSA12MCW","SA12MCW","XSAMNTHT","SAMNTHT","XSAMNTHM","SAMNTHM","XSAMNTHW","SAMNTHW","XSAOUTLT","SAOUTLT","XSAOUTLM","SAOUTLM","XSAOUTLW","SAOUTLW","XSAAVMNT","SAAVMNT","XSAAVMNM","SAAVMNM","XSAAVMNW","SAAVMNW"
"1",100654,1,"R",51,"R",39,"R",12,"R",46,"R",35,"R",11,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",4,"R",1,"R",474,"R",363,"R",111,"R",4431726,"R",3375780,"R",1055946,"R",9350,"R",9300,"R",9513
"2",100654,2,"R",61,"R",41,"R",20,"R",59,"R",39,"R",20,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"R",555,"R",375,"R",180,"R",4154098,"R",2789580,"R",1364518,"R",7485,"R",7439,"R",7581
"3",100654,3,"R",91,"R",48,"R",43,"R",90,"R",48,"R",42,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",822,"R",432,"R",390,"R",5152087,"R",2837486,"R",2314601,"R",6268,"R",6568,"R",5935
"4",100654,4,"R",35,"R",11,"R",24,"R",35,"R",11,"R",24,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",315,"R",99,"R",216,"R",1504175,"R",498745,"R",1005430,"R",4775,"R",5038,"R",4655
"5",100654,6,"R",3,"Z",0,"R",3,"R",3,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",27,"Z",0,"R",27,"R",146815,"Z",0,"R",146815,"R",5438,"A",NA,"R",5438
"6",100654,7,"R",241,"R",139,"R",102,"R",233,"R",133,"R",100,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",6,"R",2,"R",2193,"R",1269,"R",924,"R",15388901,"R",9501591,"R",5887310,"R",7017,"R",7487,"R",6372
"7",100663,1,"R",230,"R",161,"R",69,"R",105,"R",87,"R",18,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",125,"R",74,"R",51,"R",2445,"R",1671,"R",774,"R",36129409,"R",25009124,"R",11120285,"R",14777,"R",14967,"R",14367
"8",100663,2,"R",250,"R",132,"R",118,"R",135,"R",83,"R",52,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",115,"R",49,"R",66,"R",2595,"R",1335,"R",1260,"R",25241515,"R",12966383,"R",12275132,"R",9727,"R",9713,"R",9742
"9",100663,3,"R",278,"R",132,"R",146,"R",147,"R",84,"R",63,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",131,"R",48,"R",83,"R",2895,"R",1332,"R",1563,"R",23498513,"R",11240011,"R",12258502,"R",8117,"R",8438,"R",7843
"10",100663,4,"R",106,"R",32,"R",74,"R",40,"R",17,"R",23,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",66,"R",15,"R",51,"R",1152,"R",333,"R",819,"R",8006201,"R",2513772,"R",5492429,"R",6950,"R",7549,"R",6706
